rbp	logFC
TARDBP	0.256400752715098
HNRNPCL1	5.0142253769119
SRSF10	-0.04601165437332
LIN28A	-0.467855237752429
KHDRBS1	-0.129295981788076
SFPQ	-0.303914523991029
PABPC4	-1.10819904341308
YBX1	-0.584753137818952
RBM8A	-0.117064451326932
HNRNPU	0.279106722970523
PUM2	0.377343475064644
SRSF7	-0.418546804780452
PCBP1	-0.555632089551451
TIA1	0.603889174329503
ZNF638	-0.161751608434271
RBMS1	-0.469689117530532
RBM45	0.243666424909347
RBMS3	-1.05591520178103
RBM6	0.142037167807519
RBM5	1.2973751205914
MBNL1	-0.583857233107731
FXR1	-0.19857858691748
IGF2BP2	-0.385478397967757
CPEB2	2.06050301480166
G3BP2	-0.432791666797581
RBM46	-4.89333307670235
MATR3	-1.52856798086364
MATR3	0.525996230241489
ANKHD1	-1.17326255398756
CPEB4	-0.564422399157415
HNRNPH1	0.589475757804566
RBM24	5.99885198060546
KHDRBS2	0.344031099538313
QKI	-0.065219184206196
IGF2BP3	-0.533120321699486
HNRNPA2B1	0.254092673311604
RBM28	-0.0776515251333896
CNOT4	-0.516936329199831
PABPC1	-1.43353182455218
KHDRBS3	-0.274414033539183
HNRNPK	0.26618358801975
HNRNPF	-0.574393910798297
A1CF	-0.202946251096952
PPRC1	-1.15261130112313
TUT1	-0.450682839928168
RBM4	0.31182580087154
ZCRB1	-1.02461449657079
PCBP2	0.144167824121764
HNRNPA1	-0.218785152527834
ZC3H10	-0.231690655168483
SART3	0.026698497686743
MSI1	1.08515636975291
SRSF9	0.728096767002115
PABPC3	1.19877842282588
ENOX1	1.0964988888803
HNRNPA1L2	1.89581582253757
HNRNPC	-0.580682238261124
PABPN1	0.304690579183318
SAMD4A	-0.118332878127719
ZC3H14	0.680986841559037
BRUNOL6	1.89581582253757
RBFOX1	1.3928924454928
FUS	0.214547834971125
ESRP2	-5.36460558700614
YBX2	-2.51462088454696
FXR2	0.826434826638588
SRSF1	-0.267974533332674
SRSF2	-0.74810518528083
BRUNOL4	-3.83151756163087
PTBP1	-0.434120289671061
DAZAP1	-1.28401496454145
BRUNOL5	-0.277941840321828
HuR	0.298522892423378
HNRNPM	-0.144114868155189
RBM42	0.0579062089936269
HNRNPL	-0.324534479293483
SNRPA	-0.726995756437632
SNRNP70	-0.347889286155387
U2AF2	0.137987105370241
RALY	-0.0604887646130852
RBM3	-0.679745814219106
PABPC5	-0.008780716945024
HNRNPH2	0.685262112608924
RBM41	-1.55998530960389
FMR1	0.122409172885778
