gene	flanks	mean_dpsi_per_lsv_junction	H3K4me3	H3K27me3	H3K9me3	H3K27ac	A1CF	ANKHD1	BRUNOL4	BRUNOL5	BRUNOL6	CNOT4	CPEB2	CPEB4	DAZAP1	ENOX1	ESRP2	FMR1	FUS	FXR1	FXR2	G3BP2	HNRNPA1	HNRNPA1L2	HNRNPA2B1	HNRNPC	HNRNPCL1	HNRNPF	HNRNPH1	HNRNPH2	HNRNPK	HNRNPL	HNRNPM	HNRNPU	HuR	IGF2BP2	IGF2BP3	KHDRBS1	KHDRBS2	KHDRBS3	LIN28A	MATR3	MBNL1	MSI1	PABPC1	PABPC3	PABPC4	PABPC5	PABPN1	PCBP1	PCBP2	PPRC1	PTBP1	PUM2	QKI	RALY	RBFOX1	RBM24	RBM28	RBM3	RBM4	RBM41	RBM42	RBM45	RBM46	RBM5	RBM6	RBM8A	RBMS1	RBMS3	SAMD4A	SART3	SFPQ	SNRNP70	SNRPA	SRSF1	SRSF10	SRSF2	SRSF7	SRSF9	TARDBP	TIA1	TUT1	U2AF2	YBX1	YBX2	ZC3H10	ZC3H14	ZCRB1	ZNF638
MIIP	12019266-12019666	-0.3266	-0.23838	0.0	0.0	-0.61276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.225748539876715	0.0	0.8970244980142736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3796941737375097	0.0	2.352504832586436	1.0184184077635636	0.0	0.2951472499818271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6943536904786354	0.0	0.0	0.0	0.0	0.0	0.0	1.8980392179077568	0.4956489793306246	3.739071060843434	1.1630082560287722	0.0	0.0	0.0	0.0	0.0	0.1391515330390342	0.0	0.8394350559461857	0.0	0.0	0.0	0.0	0.0	0.2820858152657327	0.411364481962839	0.0	0.0	0.258557338709066	0.0	0.0	0.0	0.0	0.6401911601317581	0.0	1.73036729355456	0.9819108040149404	0.0	0.5104938986557601	0.0	0.0	0.0	0.0	0.0	0.6695859934369159	0.0	0.0	0.0
MIIP	12019298-12019698	-0.3266	-0.23838	0.0	0.0	-0.61276	0.0	0.0	13.720664388200143	1.0181009610988558	7.128267492741263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7625030054873783	0.0	1.806586531031953	0.0	0.0	0.0	0.0	0.0	0.0	1.3796941737375097	0.0	2.512856166936924	0.7639468976166826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4935068022895757	0.0	0.0	0.0	0.0	0.0	0.0	2.171965838056622	0.5838796876931441	5.097999784867604	1.410890941430948	0.0	0.0	0.0	0.0	22.201751180220807	0.0	0.0	1.188991778723182	0.0	0.0	0.0	0.0	0.0	0.0	0.5505541145905612	0.0	0.0	0.423631703697234	0.0	0.0	0.0	0.0	0.6401911601317581	0.0	2.4231126951246083	1.099941002963028	1.6687977899688475	0.9902197069857084	0.0	0.0	0.0	0.0	0.0	0.8187947753654189	0.0	0.0	0.3134746171456172
MIIP	12019352-12019752	-0.3266	-0.23838	0.0	0.0	-0.61276	0.0	0.0	0.0	0.4794496745551533	4.271273048177146	0.0	7.0221942744440575	1.815746858089404	0.0	0.0	14.961884982160123	0.2719931821521987	0.0	0.431114112197849	2.1371604616873885	0.7154046252164015	0.4937980892553213	4.005858833021885	0.4472031050284231	1.788501293844262	15.393671907119533	1.5692441643009476	1.5149526975577343	2.2915165045642416	0.0	0.0	0.384354353369889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9801567230913388	0.0	1.820466852829905	2.9592214203161857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.166915338635812	0.0	0.1226120663076484	0.1771715915517265	0.0	11.685763658219436	0.0	0.0	1.0692506711885106	0.0	0.0	0.0	14.420652577041826	0.0	0.2961474948786771	0.3543540941666231	0.0	0.0	0.3828068607431709	0.0	0.0	0.6244612686489196	0.0	0.8687734370645291	0.0	2.115641463974187	0.9208029705169944	0.0	0.6022853681277652	1.817706414731804	0.9085766052951868	0.4927519532771306	0.0	0.0	0.5523505219216635	1.2353101305880931	0.0	0.0
MIIP	12021445-12021845	0.3266	0.0	0.0	0.0	0.0	0.0	0.0	14.912266349867346	1.1081541173631282	5.914945366317219	1.2980271226207758	0.0	0.0	0.0	0.0	17.225748539876715	0.2278034707404328	0.0	0.4879075880562483	0.0	0.9348300002827752	0.0	3.6589245374975103	0.586445890003182	0.0	0.0	2.0821779266438267	1.5621107581820997	1.4006757581726408	0.0	0.8437896461630559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.150456029633223	0.0	1.4935068022895757	0.0	0.0	3.487246432000485	0.0	0.0	0.0	1.226835653729604	0.324377604273969	0.0	1.767303699250889	0.0	0.0	0.0	0.0	18.230511169059994	0.2545416993872511	0.0	0.0	0.0	0.0	0.4710071993497677	0.0	0.0	0.382079981402226	0.0	0.0	0.0	0.3637552673646082	0.0	0.0	0.0	2.150453447542516	0.6310800259984473	0.077069521075311	2.295934813626867	1.3682295048272977	2.666290360761745	1.0373974454852866	0.0	0.0	0.0	1.230320601971075	4.893452241328384	0.0	0.0	0.0	0.0
MIIP	12021640-12022040	0.3266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8469591286346994	1.138439979100506	0.0	0.0	15.530533174382777	0.0	0.7290335432318829	0.0	0.0	0.0	0.6150050637557414	5.046661719595011	0.7284836943843687	1.2804043353657784	10.905940194783382	1.600835829394854	0.0	2.428568927086027	0.5555251481972183	0.9823658688213732	0.304226486675604	0.0	0.6725720766298706	0.0	0.0	0.0	0.0	0.0	0.0	0.9951848676168972	1.6943536904786354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.221548586639148	1.2402816675902213	0.0	0.0	0.0	0.0	0.0	0.0	1.1209008476473057	0.8634456426132943	0.0	0.1189393532729096	0.0	0.0	0.0	0.0	0.3654752170426816	0.0	0.0	0.3492003233548988	0.0	0.0	0.0	0.0	0.8942310177311332	0.0	1.4281327987011043	0.9819108040149404	1.5588551781515283	0.6868976165237475	1.1781877791168602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIIP	12021895-12022295	0.3266	0.0	0.0	0.0	0.0	0.0	0.0	8.337382214108773	0.698189902888432	0.0	1.2809682237571811	7.0221942744440575	1.815746858089404	2.2226299036212502	0.0	22.37576990340261	0.0	0.0	0.4936663670768553	1.5462595606407985	1.0560116669860975	0.668169855820005	5.554740360035081	0.7793022290466896	1.783275153699912	15.393671907119533	2.148807620296429	2.0690599098940265	2.459405722153428	0.7485082495115369	0.0	0.4963316059264709	0.8024318285402537	0.5510732594135558	0.0	0.0	0.2691942340827742	0.6192559791689635	0.4892802218003632	0.0	0.0	1.2080006152998954	0.0	3.036220404401517	3.228310292670095	2.5987267568036727	0.0232513384704235	0.8238833261116919	1.1473802649237463	0.3568153647013659	0.0	1.120030347351337	0.0	0.0	0.1863053950083024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5197404843316372	0.0	4.590113176652372	0.0	0.0	0.0	2.0896561843246584	0.2235308067832612	0.0565474181005216	0.0	1.291365030208797	0.0	0.7865052553313983	0.1496759116764099	1.7371002402220874	1.179883442676094	1.9585803032356892	0.606900581676637	1.817706414731804	0.0	0.436315227180702	0.0	0.0	0.6093464230931103	1.2353101305880931	2.4867393831773072	0.0
MIIP	12022022-12022422	0.3266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3991395688700967	14.613185619004726	0.3450714583650082	0.7393318393104968	0.0	2.6090547476980226	0.9923912919668534	0.5292412839648305	4.244731626661619	0.6809683644750988	0.0	0.0	1.3796941737375097	1.7861115461478347	2.3682658611764413	0.0	0.0	0.0	0.5057413820225878	0.0	0.0	0.0	0.0	0.0	0.0	1.5425187188697584	0.0	1.6680801149887874	2.186590085052114	0.0	0.0	0.0	0.0	0.0	0.0	0.4072741031439832	4.064107447760156	1.0735794763565338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2370129520573991	0.0	0.0	0.0	0.0	3.2434378014785	0.0	0.4049259371398578	0.0	0.0	0.4061184377343316	0.0	0.0	0.0	0.0	1.0083881689308525	0.0	2.037838524704981	1.3682295048272977	2.102015366335106	0.0	0.0	0.0	0.0	0.0	0.0	0.8632793811577677	0.0	0.0	0.0
ADAM15	155060563-155060963	-0.4156	0.0	0.0	0.0	0.0	0.3900626946083417	3.383689205700123	0.0	0.0	3.8921098836696313	0.0	6.3278047584558985	1.6148124839893645	2.241890128089372	0.0	0.0	0.221070966231715	0.3825387897535158	0.0	1.5702261706133172	0.865583333595162	0.4434775041739195	4.512041657639417	0.4845547280052288	1.5242908754354505	13.107185135247706	1.1844002440660883	0.0	1.7967572592605987	0.6132869867975039	0.0	0.304226486675604	0.0	0.8824336700035053	0.0	0.0	0.2638930988294631	0.6677643642038655	0.7947030411294739	0.0	0.0	1.75741027165427	0.0	0.0	2.5749760522299905	0.0	0.0	0.0	1.1979427850729285	0.3478769596058165	3.339114939353708	1.166915338635812	1.2391959721122907	0.0	0.1587830071093486	0.0	0.0	0.0	2.0032109145037054	0.6853931103156449	3.659725536330726	0.0	0.0	0.0	2.9774759017572627	0.0	0.3733185352815861	1.7951518072016934	4.025148749189286	0.0	0.0	0.0	0.8770288903977306	0.0	0.6787794929316633	0.0	1.896446644686904	0.0	2.081628656859047	0.5622868507042099	1.6516368917911906	0.0	0.4153411871644254	0.0	0.0	0.5523505219216635	1.7549030906976384	0.0	0.2786980213322489
ADAM15	155060632-155061032	-0.4156	0.0	0.0	0.0	0.0	0.4284195360656657	0.0	11.080748788236477	0.833825520965484	0.0	0.0	6.517371035817651	1.801071875711311	2.817128832203941	0.0	0.0	0.2566920355414764	0.0	0.0	0.0	0.0	0.7532772801533325	0.0	0.5198736095955417	1.602102295362441	13.678806828215665	1.5910711329112828	2.01011233411357	1.515114530978331	0.0	0.8136079395887619	0.382048515479406	0.0	0.7185446020630708	0.0	0.0	0.2985444219486675	0.0	0.0	0.0	0.0	1.8350632836575984	0.0	3.893472435483721	3.1192214561929394	3.173882060335061	0.0178599782661788	0.7675155689627781	0.0	0.0	0.0	1.410890941430948	0.0	0.1701568515939653	0.1576942093463131	0.0	0.0	0.0	0.0	0.0	4.197920468144068	0.0	0.0	0.0	2.677782248900649	0.0	0.0	0.0	0.0	0.0	0.0727534061963746	0.0	0.7006490223169494	0.0	0.7323743995981981	0.0820387797476295	0.0	1.2778233949947198	0.0	0.6022853681277652	1.6105724279367843	0.0	0.3535229639585574	0.9718597150550982	0.0	0.0	1.5866993408325565	3.0861388636712195	0.3409723905794433
ADAM15	155061704-155062104	0.6256	-0.1325	-1.08724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.778490508248623	0.0	0.8504676178255395	0.0	1.8181566186048936	0.0	0.668169855820005	5.5263031226970165	0.8265634662826479	0.0	0.0	1.1844002440660883	0.0	2.908252405912273	0.879470574817254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.11765018448174	0.0	0.0	0.0	0.0	0.0	0.0	1.6813427029826908	0.4288992767622478	3.975356377573675	0.0	0.0	0.0	0.0	0.0	0.0	0.1693579763159227	0.0	1.2301527844382252	0.0	0.0	0.0	0.0	3.226571924910812	0.0	0.4602974226174966	0.0	0.0	0.4207917146221688	0.0	0.0	0.0	0.0	0.8395642129312677	0.0	2.19868113954036	0.0	1.8559186590883912	0.5151091122046318	0.0	0.0	0.0	0.0	0.0	0.6125900922654691	0.0	0.0	0.0
