gene_id	lsv_id	seqid	junction0	mean_dpsi_per_lsv_junction	probability_changing	flanks	start	stop	strand
ENSG00000054523.19	ENSG00000054523.19:t:10334520-10334638	chr1	10324895	0.477	1.0	10324558-10324958	10324558	10324958	+
ENSG00000054523.19	ENSG00000054523.19:t:10334520-10334638	chr1	10324895	0.477	1.0	10324695-10325095	10324695	10325095	+
ENSG00000054523.19	ENSG00000054523.19:s:10324758-10324895	chr1	10326111	-0.3304	0.9874	10325911-10326311	10325911	10326311	+
ENSG00000054523.19	ENSG00000054523.19:t:10334520-10334638	chr1	10326359	-0.477	1.0	10326159-10326559	10326159	10326559	+
ENSG00000054523.19	ENSG00000054523.19:t:10334520-10334638	chr1	10334520	0.477	1.0	10334320-10334720	10334320	10334720	+
ENSG00000054523.19	ENSG00000054523.19:t:10334520-10334638	chr1	10334520	0.477	1.0	10334438-10334838	10334438	10334838	+
ENSG00000185946.16	ENSG00000185946.16:s:103551721-103552778	chr1	103551792	0.5382	1.0	103551521-103551921	103551521	103551921	+
ENSG00000185946.16	ENSG00000185946.16:s:103551721-103552778	chr1	103551792	0.5382	1.0	103551524-103551924	103551524	103551924	+
ENSG00000185946.16	ENSG00000185946.16:s:103551721-103552778	chr1	103551792	0.5382	1.0	103551592-103551992	103551592	103551992	+
ENSG00000185946.16	ENSG00000185946.16:s:103551721-103552778	chr1	103553274	-0.5382	1.0	103553074-103553474	103553074	103553474	+
ENSG00000185946.16	ENSG00000185946.16:s:103551721-103552778	chr1	103553274	-0.5382	1.0	103553132-103553532	103553132	103553532	+
ENSG00000185946.16	ENSG00000185946.16:s:103551721-103552778	chr1	103553274	-0.5382	1.0	103553143-103553543	103553143	103553543	+
ENSG00000185946.16	ENSG00000185946.16:s:103551721-103552778	chr1	103555034	0.5382	1.0	103554834-103555234	103554834	103555234	+
ENSG00000185946.16	ENSG00000185946.16:s:103551721-103552778	chr1	103555034	0.5382	1.0	103554909-103555309	103554909	103555309	+
ENSG00000185946.16	ENSG00000185946.16:s:103551721-103552778	chr1	103555034	0.5382	1.0	103554912-103555312	103554912	103555312	+
ENSG00000156171.15	ENSG00000156171.15:t:111137523-111137586	chr1	111137586	0.9744	1.0	111137323-111137723	111137323	111137723	-
ENSG00000156171.15	ENSG00000156171.15:t:111137523-111137586	chr1	111137586	0.9744	1.0	111137386-111137786	111137386	111137786	-
ENSG00000156171.15	ENSG00000156171.15:t:111137523-111137586	chr1	111139501	0.9744	1.0	111139301-111139701	111139301	111139701	-
ENSG00000156171.15	ENSG00000156171.15:t:111137523-111137586	chr1	111139501	0.9744	1.0	111139320-111139720	111139320	111139720	-
ENSG00000156171.15	ENSG00000156171.15:t:111137523-111137586	chr1	111139501	0.9744	1.0	111139388-111139788	111139388	111139788	-
ENSG00000156171.15	ENSG00000156171.15:t:111137523-111137586	chr1	111139501	0.9744	1.0	111139427-111139827	111139427	111139827	-
ENSG00000156171.15	ENSG00000156171.15:t:111137523-111137586	chr1	111139501	0.9744	1.0	111139455-111139855	111139455	111139855	-
ENSG00000156171.15	ENSG00000156171.15:t:111137523-111137586	chr1	111139501	0.9744	1.0	111139466-111139866	111139466	111139866	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111139666	0.6853	1.0	111139511-111139911	111139511	111139911	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111139666	0.6853	1.0	111139534-111139934	111139534	111139934	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111139666	0.6853	1.0	111139561-111139961	111139561	111139961	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111140038	0.6853	1.0	111139714-111140114	111139714	111140114	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111140038	0.6853	1.0	111139838-111140238	111139838	111140238	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111140038	0.6853	1.0	111139840-111140240	111139840	111140240	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111140038	0.6853	1.0	111139843-111140243	111139843	111140243	-
ENSG00000156171.15	ENSG00000156171.15:s:111140038-111140040	chr1	111140038	0.6853	1.0	111139862-111140262	111139862	111140262	-
