flanks	gene_id	mean_dpsi_per_lsv_junction	H3K4me3	H3K27me3	H3K9me3	H3K27ac
12019266-12019666	ENSG00000116691.11	-0.3266	-0.23838	0.0	0.0	-0.61276
12019298-12019698	ENSG00000116691.11	-0.3266	-0.23838	0.0	0.0	-0.61276
12019352-12019752	ENSG00000116691.11	-0.3266	-0.23838	0.0	0.0	-0.61276
12021445-12021845	ENSG00000116691.11	0.3266				
12021640-12022040	ENSG00000116691.11	0.3266				
12021895-12022295	ENSG00000116691.11	0.3266				
12022022-12022422	ENSG00000116691.11	0.3266				
155060563-155060963	ENSG00000143537.14	-0.4156				
155060632-155061032	ENSG00000143537.14	-0.4156				
155061704-155062104	ENSG00000143537.14	0.6256	-0.1325	-1.08724	0.0	0.0
155061775-155062175	ENSG00000143537.14	0.6256	-0.1325	-1.08724	0.0	0.0
155061917-155062317	ENSG00000143537.14	0.6256	-0.1325	-1.08724	0.0	0.0
155061961-155062361	ENSG00000143537.14	0.6256	-0.1325	-1.08724	0.0	0.0
155062045-155062445	ENSG00000143537.14	0.6256	-0.1325	-1.08724	0.0	0.0
155062169-155062569	ENSG00000143537.14	0.6256	-0.1325	-1.08724	0.0	0.0
156082984-156083384	ENSG00000160789.24	-0.4828	-0.35733	0.0	0.0	-0.67142
156106458-156106858	ENSG00000160789.24	0.6985	1.88488	0.0	0.0	-0.39683
156106498-156106898	ENSG00000160789.24	0.6985	1.88488	0.0	0.0	-0.39683
156106623-156107023	ENSG00000160789.24	0.6985	1.88488	0.0	0.0	-0.39683
156114470-156114870	ENSG00000160789.24	0.6985	1.30769	-0.98988	0.0	0.16604
156114511-156114911	ENSG00000160789.24	0.6985	1.30769	-0.98988	0.0	0.0
156114513-156114913	ENSG00000160789.24	0.6985	1.30769	-0.98988	0.0	0.0
156114522-156114922	ENSG00000160789.24	0.6985	1.30769	-0.98988	0.0	0.0
156114591-156114991	ENSG00000160789.24	0.6985	1.30769	-0.98988	0.0	0.0
156114638-156115038	ENSG00000160789.24	0.6985	1.30769	-0.71334	0.0	0.0
156114711-156115111	ENSG00000160789.24	-0.4828	1.30769	-0.71334	0.0	0.0
159171559-159171959	ENSG00000162706.13	-0.4809	-0.31288	0.0	0.0	0.75299
159171653-159172053	ENSG00000162706.13	-0.4809	-0.31288	0.0	0.0	0.75299
159189571-159189971	ENSG00000162706.13	0.3742				
159189672-159190072	ENSG00000162706.13	0.3742				
159191736-159192136	ENSG00000162706.13	0.3742				
159191876-159192276	ENSG00000162706.13	0.3742				
1739357-1739757	ENSG00000215790.8	0.31				
1739504-1739904	ENSG00000215790.8	0.31				
1744051-1744451	ENSG00000215790.8	0.31				
1745524-1745924	ENSG00000215790.8	-0.31	1.24553	0.0	0.0	0.0
1745719-1746119	ENSG00000215790.8	-0.31	1.24553	0.0	0.0	0.0
1765246-1765646	ENSG00000008130.15	0.3294				
1778089-1778489	ENSG00000008130.15	-0.3768	0.58518	0.0	0.0	3.15295
1778219-1778619	ENSG00000008130.15	-0.3768	0.58518	0.0	0.0	3.15295
1778220-1778620	ENSG00000008130.15	-0.3768	0.58518	0.0	0.0	3.15295
1778270-1778670	ENSG00000008130.15	-0.3768	0.58518	0.0	0.0	3.15295
1779705-1780105	ENSG00000008130.15	0.3294	0.58518	-1.22112	0.0	2.98249
1779762-1780162	ENSG00000008130.15	0.3294	0.58518	-1.22112	0.0	2.98249
1779829-1780229	ENSG00000008130.15	0.3294	0.58518	-1.22112	0.0	2.98249
1779869-1780269	ENSG00000008130.15	0.3294	0.58518	-1.22112	0.0	2.98249
201718555-201718955	ENSG00000134369.16	0.5241				
201739644-201740044	ENSG00000134369.16	-0.366	-0.66274	0.0	0.0	0.48446
201739668-201740068	ENSG00000134369.16	-0.366	-0.66274	0.0	0.0	0.48446
201780221-201780621	ENSG00000134369.16	0.5241				
201780323-201780723	ENSG00000134369.16	0.5241				
201780359-201780759	ENSG00000134369.16	0.5241				
201789540-201789940	ENSG00000134369.16	0.3233				
201789592-201789992	ENSG00000134369.16	0.3233				
201790354-201790754	ENSG00000134369.16	0.3233				
201790377-201790777	ENSG00000134369.16	0.3233				
201790489-201790889	ENSG00000134369.16	0.3233				
201790566-201790966	ENSG00000134369.16	0.3233				
