gene	flanks	mean_dpsi_per_lsv_junction	H3K4me3	H3K27me3	H3K9me3	H3K27ac	A1CF	ANKHD1	BRUNOL4	BRUNOL5	BRUNOL6	CNOT4	CPEB2	CPEB4	DAZAP1	ENOX1	ESRP2	FMR1	FUS	FXR1	FXR2	G3BP2	HNRNPA1	HNRNPA1L2	HNRNPA2B1	HNRNPC	HNRNPCL1	HNRNPF	HNRNPH1	HNRNPH2	HNRNPK	HNRNPL	HNRNPM	HNRNPU	HNRPLL	HuR	IGF2BP2	IGF2BP3	KHDRBS1	KHDRBS2	KHDRBS3	LIN28A	MATR3	MBNL1	MSI1	PABPC1	PABPC3	PABPC4	PABPC5	PABPN1	PCBP1	PCBP2	PPRC1	PTBP1	PUM2	QKI	RALY	RBFOX1	RBM24	RBM28	RBM3	RBM4	RBM41	RBM42	RBM45	RBM46	RBM5	RBM6	RBM8A	RBMS1	RBMS3	SAMD4A	SART3	SFPQ	SNRNP70	SNRPA	SRSF1	SRSF10	SRSF2	SRSF7	SRSF9	TARDBP	TIA1	TUT1	U2AF2	YBX1	YBX2	ZC3H10	ZC3H14	ZCRB1	ZNF638
WARS1	100369058-100369458	0.6031	0.0	0.0	0.0	0.0	1.0	1.0	0.00268	0.00256	1.0	0.00661	0.000327	0.000648	0.017	1.0	0.0194	1.0	1.0	0.0474	0.0307	0.0301	0.00191	0.000344	0.00657	0.00107	0.00107	0.028	0.000224	0.00466	1.0	1.0	1.0	0.000247	1.0	1.0	1.0	1.0	0.0187	0.0359	0.0373	1.0	0.00388	0.00704	0.0301	0.0171	0.00354	0.00951	0.00405	0.00343	1.0	1.0	1.0	0.00359	1.0	1.0	0.00103	1.0	0.0161	1.0	1.0	1.0	0.0055	1.0	0.0165	1.0	0.000202	0.0315	1.0	1.0	0.0239	0.0131	0.0171	0.0334	1.0	1.0	0.00408	0.000571	0.0345	0.00241	0.0169	0.00897	0.00131	1.0	0.000783	1.0	1.0	0.00427	0.00577	0.00761	0.00244
WARS1	100375083-100375483	0.6031	0.41851	0.0	0.0	0.72323	1.0	1.0	0.00268	0.00256	1.0	0.00661	0.000327	0.000648	0.017	1.0	0.0194	1.0	1.0	0.0474	0.0307	0.0301	0.00191	0.000344	0.00657	0.00107	0.00107	0.028	0.000224	0.00466	1.0	1.0	0.00225	0.000247	1.0	1.0	1.0	1.0	0.0187	0.0359	0.0373	1.0	0.00388	0.00838	0.0301	0.0171	0.00354	0.00951	0.00405	0.00343	1.0	1.0	1.0	0.00359	1.0	1.0	0.00103	1.0	0.0161	1.0	1.0	1.0	0.0055	1.0	0.0165	1.0	0.000202	0.0315	1.0	1.0	0.0239	0.0294	0.0171	0.0334	0.000103	1.0	0.00408	0.000571	0.0345	0.00241	0.0169	0.00897	0.00131	1.0	0.000783	1.0	1.0	0.00427	0.00577	0.00761	0.00244
WARS1	100375133-100375533	0.6031	0.41851	0.0	0.0	0.67001	1.0	0.00661	1.0	1.0	1.0	0.0144	1.0	1.0	1.0	1.0	0.00993	1.0	0.000675	1.0	0.0235	1.0	0.000939	0.00388	0.000598	1.0	1.0	0.00704	0.0122	3.64e-05	0.000203	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00147	1.0	0.00065	1.0	1.0	1.0	1.0	1.0	1.0	6.73e-05	0.000749	8.63e-05	0.0269	1.0	1.0	1.0	1.0	0.00507	0.0259	1.0	0.00344	1.0	0.0206	0.00347	1.0	0.00043	1.0	0.000444	1.0	1.0	0.000559	1.0	1.0	1.0	1.0	0.000326	1.0	0.000994	0.000281	0.000252	0.0223	1.0	1.0	1.0	1.0	1.0	0.0235	1.0	1.0	1.0
WARS1	100376051-100376451	-0.64	0.41851	0.0	0.0	0.67001	1.0	0.00661	1.0	1.0	1.0	0.0144	1.0	1.0	1.0	1.0	0.00993	1.0	0.000675	1.0	0.0235	1.0	0.000939	0.00388	0.000598	1.0	1.0	0.00704	0.0122	3.64e-05	0.00033	1.0	1.0	1.0	0.00866	1.0	1.0	1.0	1.0	1.0	1.0	0.00147	1.0	0.00065	1.0	1.0	1.0	1.0	1.0	1.0	6.73e-05	0.000749	8.63e-05	1.0	1.0	1.0	1.0	1.0	0.00507	0.0259	1.0	0.00344	1.0	0.0206	0.00347	1.0	0.00043	1.0	0.000444	1.0	1.0	0.000559	1.0	1.0	1.0	1.0	0.000326	1.0	0.000994	0.000281	0.000252	0.0223	1.0	1.0	1.0	1.0	1.0	0.0235	1.0	1.0	1.0
WARS1	100376060-100376460	-0.64	0.41851	0.0	0.0	0.67001	1.0	0.00661	1.0	1.0	1.0	0.0144	1.0	1.0	1.0	0.00313	0.00993	1.0	0.000675	1.0	0.0235	1.0	0.000939	0.00388	0.000598	1.0	1.0	0.00704	0.0122	3.64e-05	0.00516	1.0	1.0	1.0	0.00866	1.0	1.0	1.0	1.0	1.0	1.0	0.00147	1.0	0.00065	1.0	1.0	1.0	1.0	1.0	1.0	0.00153	0.00219	8.63e-05	1.0	1.0	1.0	1.0	1.0	0.00507	0.0259	1.0	0.00344	1.0	0.0206	0.00347	1.0	0.00043	1.0	0.000444	1.0	1.0	0.000559	1.0	1.0	1.0	1.0	0.000326	1.0	0.000994	0.000281	0.000252	0.0223	1.0	1.0	1.0	1.0	1.0	0.0235	1.0	1.0	1.0
WARS1	100376085-100376485	-0.64	0.41851	0.0	0.0	0.67001	1.0	0.00661	1.0	1.0	1.0	0.0144	1.0	1.0	1.0	0.00313	0.00993	1.0	0.000675	1.0	0.0235	1.0	0.000939	0.00388	0.000598	1.0	1.0	0.00704	0.0122	3.64e-05	0.00516	1.0	1.0	1.0	0.00866	1.0	1.0	1.0	1.0	1.0	1.0	0.00147	1.0	0.00065	1.0	1.0	1.0	1.0	1.0	1.0	0.00704	0.00287	8.63e-05	1.0	1.0	1.0	1.0	1.0	0.00507	0.0259	1.0	0.00344	1.0	0.0206	0.00347	1.0	0.00043	1.0	0.000444	1.0	1.0	0.000559	1.0	1.0	1.0	1.0	0.000326	1.0	0.000994	0.000281	0.000252	0.0223	1.0	1.0	1.0	1.0	1.0	0.0235	1.0	1.0	1.0
WARS1	100376087-100376487	-0.64	0.41851	0.0	0.0	0.67001	1.0	0.00661	1.0	1.0	1.0	0.0144	1.0	1.0	1.0	0.00313	0.00993	1.0	0.000675	1.0	0.0235	1.0	0.000939	0.00388	0.000598	1.0	1.0	0.00704	0.0122	3.64e-05	0.00516	1.0	1.0	1.0	0.00866	1.0	1.0	1.0	1.0	1.0	1.0	0.00147	1.0	0.00065	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00287	8.63e-05	1.0	1.0	1.0	1.0	1.0	0.00507	0.0259	1.0	0.00344	1.0	0.0206	0.00347	1.0	0.00043	1.0	0.000444	1.0	1.0	0.000559	1.0	1.0	1.0	1.0	0.000326	1.0	0.000994	0.000281	0.000252	0.0223	1.0	1.0	1.0	1.0	1.0	0.0235	1.0	1.0	1.0
WARS1	100376099-100376499	-0.64	0.41851	0.0	0.0	0.67001	1.0	0.00661	1.0	1.0	1.0	0.0144	1.0	1.0	1.0	0.00313	0.00993	1.0	0.000675	1.0	0.0235	1.0	0.000939	0.00388	0.000598	1.0	1.0	0.00704	0.0122	3.64e-05	0.00516	1.0	1.0	1.0	0.00866	1.0	1.0	1.0	1.0	1.0	1.0	0.00147	1.0	0.00065	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00738	8.63e-05	1.0	1.0	1.0	1.0	1.0	0.00507	0.0259	1.0	0.00344	1.0	0.0206	0.00347	1.0	0.00043	1.0	0.000444	1.0	1.0	0.000559	1.0	1.0	1.0	1.0	0.000326	1.0	0.000994	0.000281	0.000252	0.0223	1.0	1.0	1.0	1.0	1.0	0.0235	1.0	1.0	1.0
WARS1	100376102-100376502	-0.64	0.41851	0.0	0.0	0.67001	1.0	0.00661	1.0	1.0	1.0	0.0144	1.0	1.0	1.0	0.00313	0.00993	1.0	0.000675	1.0	0.0235	1.0	0.000939	0.00388	0.000598	1.0	1.0	0.00704	0.0122	3.64e-05	0.00516	0.0105	1.0	1.0	0.00866	1.0	1.0	1.0	1.0	1.0	1.0	0.00147	1.0	0.00065	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00738	8.63e-05	1.0	1.0	1.0	1.0	1.0	0.00507	0.0259	1.0	0.00344	1.0	0.0206	0.00347	1.0	0.00043	1.0	0.000444	1.0	1.0	0.000559	1.0	1.0	1.0	1.0	0.000326	1.0	0.000994	0.000281	0.000252	0.0223	1.0	1.0	1.0	1.0	1.0	0.0235	1.0	1.0	1.0
WARS1	100376105-100376505	-0.64	0.41851	0.0	0.0	0.67001	1.0	0.00661	1.0	1.0	1.0	0.0144	1.0	1.0	1.0	0.00313	0.00993	1.0	0.000675	1.0	0.0235	1.0	0.000939	0.00388	0.000598	1.0	1.0	0.00704	0.0122	3.64e-05	0.00516	0.0105	1.0	1.0	0.00866	1.0	1.0	1.0	1.0	1.0	1.0	0.00147	1.0	0.00065	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00738	8.63e-05	1.0	1.0	1.0	1.0	1.0	0.00507	0.0259	1.0	0.00344	1.0	0.0206	0.00347	1.0	0.00043	1.0	0.000444	1.0	1.0	0.000559	1.0	1.0	1.0	1.0	0.000326	1.0	0.000994	0.000281	0.000252	0.0223	1.0	1.0	1.0	1.0	1.0	0.0235	1.0	1.0	1.0
