gene	flanks	mean_dpsi_per_lsv_junction	H3K4me3	H3K27me3	H3K9me3	H3K27ac	A1CF	ANKHD1	BRUNOL4	BRUNOL5	BRUNOL6	CNOT4	CPEB2	CPEB4	DAZAP1	ENOX1	ESRP2	FMR1	FUS	FXR1	FXR2	G3BP2	HNRNPA1	HNRNPA1L2	HNRNPA2B1	HNRNPC	HNRNPCL1	HNRNPF	HNRNPH1	HNRNPH2	HNRNPK	HNRNPL	HNRNPM	HNRNPU	HNRPLL	HuR	IGF2BP2	IGF2BP3	KHDRBS1	KHDRBS2	KHDRBS3	LIN28A	MATR3	MBNL1	MSI1	PABPC1	PABPC3	PABPC4	PABPC5	PABPN1	PCBP1	PCBP2	PPRC1	PTBP1	PUM2	QKI	RALY	RBFOX1	RBM24	RBM28	RBM3	RBM4	RBM41	RBM42	RBM45	RBM46	RBM5	RBM6	RBM8A	RBMS1	RBMS3	SAMD4A	SART3	SFPQ	SNRNP70	SNRPA	SRSF1	SRSF10	SRSF2	SRSF7	SRSF9	TARDBP	TIA1	TUT1	U2AF2	YBX1	YBX2	ZC3H10	ZC3H14	ZCRB1	ZNF638
ZKSCAN1	100030175-100030575	-0.4671	0.0	0.0	0.0	0.0	0.0246	1.0	1.0	1.0	1.0	0.000671	0.0338	0.0111	1.0	0.000391	1.0	0.0213	1.0	0.00233	1.0	0.00449	0.0209	1.0	0.0067	0.00445	0.00483	1.0	0.000845	1.0	1.0	0.00969	1.0	1.0	1.0	0.0179	0.00193	0.00198	0.000892	0.000271	0.000465	0.000101	0.00553	0.0109	0.0369	0.000123	4.19e-06	0.000348	0.000223	0.000209	1.0	1.0	1.0	0.00546	0.00564	1.0	0.0493	1.0	1.0	1.0	0.00127	0.0453	1.0	0.0227	0.00466	0.00224	0.0256	1.0	1.0	0.0386	0.00338	1.0	0.000118	1.0	1.0	0.00934	0.00326	2.45e-05	0.000129	0.000442	0.000553	1.0	1.0	1.0	0.0249	0.000119	0.000563	1.0	0.0099	0.00216	1.0
ZKSCAN1	100033105-100033505	0.4671	0.0	0.0	0.0	0.0	0.0227	1.0	0.000538	0.000483	0.00191	0.0106	1.0	0.00967	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0246	1.0	0.0124	0.00457	0.00472	1.0	0.0256	1.0	0.0362	0.00264	1.0	4.39e-05	0.00632	0.0067	1.0	0.0321	0.00838	0.0127	0.0303	0.0104	1.0	0.0112	1.0	0.00674	0.00278	0.00951	0.00308	0.000267	1.0	1.0	1.0	0.000542	0.00065	0.000724	0.0161	1.0	0.000333	0.00845	1.0	1.0	0.00264	0.00168	0.0334	0.00668	1.0	1.0	1.0	0.000612	0.00017	1.0	0.00657	0.00127	1.0	0.0455	0.000741	0.0025	0.0145	0.00257	0.0161	0.000105	0.00861	1.0	0.00507	0.00167	0.00838	1.0	0.00911	0.0395	0.0384
ZKSCAN1	100030049-100030449	-0.4671	0.0	0.0	0.0	0.0	0.00231	1.0	0.00722	0.00539	0.0121	0.0106	1.0	1.0	1.0	1.0	1.0	0.0127	1.0	0.00701	0.0446	0.00708	0.0246	1.0	1.0	1.0	1.0	1.0	0.0256	1.0	0.0362	0.00264	1.0	4.39e-05	1.0	0.021	1.0	0.0488	0.00687	0.00378	0.00369	0.0104	1.0	0.0112	1.0	0.00469	0.00278	0.00123	0.00308	0.000267	1.0	1.0	1.0	0.000542	0.00704	0.000242	1.0	1.0	0.00104	0.00845	1.0	1.0	0.00476	0.00103	0.0276	0.00621	1.0	1.0	1.0	0.000458	0.00033	1.0	0.00455	1.0	1.0	1.0	0.000741	0.00301	0.0145	0.000176	0.0161	0.00833	1.0	0.0172	1.0	0.00167	0.00722	1.0	1.0	0.00106	0.0263
INVS	100126349-100126749	0.5349	0.0	0.0	0.0	0.0	0.000741	1.0	1.0	1.0	1.0	1.0	0.00343	0.00217	0.0262	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.001	0.0011	1.0	0.0179	1.0	0.00561	0.000251	1.0	1.0	0.000436	0.00804	3.76e-05	3.83e-05	6.03e-05	0.000167	0.000448	1.0	1.0	0.0104	1.0	4.06e-05	0.000111	1.28e-05	0.000158	0.000444	0.015	1.0	1.0	1.0	0.000355	0.00641	0.00653	1.0	1.0	1.0	0.00774	1.0	0.00343	0.000221	1.0	0.00129	0.0289	0.00969	1.0	1.47e-05	8.13e-05	1.0	3.89e-05	1.0	1.0	1.0	0.000173	0.000165	0.0246	0.00539	0.0204	1.0	0.00772	0.000585	0.00256	0.0037	0.00575	1.0	0.0296	0.00453	1.0
INVS	100129476-100129876	0.5349	0.0	0.0	0.0	0.0	0.00043	1.0	0.0311	1.0	1.0	0.0356	0.000106	0.000244	0.00181	1.0	1.0	0.0151	1.0	1.0	1.0	0.000123	0.00266	1.0	1.0	7.38e-05	8.1e-05	0.00214	0.0222	1.0	1.0	0.000353	1.0	1.0	0.00211	0.00015	7.81e-05	0.000135	0.000388	0.00019	0.00105	0.02	0.00258	0.018	0.0312	0.000123	0.000417	3.99e-05	0.000196	0.00251	1.0	1.0	1.0	0.000525	0.000731	0.00105	0.00011	1.0	1.0	1.0	0.000151	1.0	0.000754	0.0284	0.0082	0.000134	1.0	1.0	1.0	0.00271	0.0129	1.0	0.000118	1.0	0.000981	0.00186	0.0128	1.0	0.0027	0.00113	0.0384	0.0109	0.000138	0.00457	5.95e-05	0.00567	0.002	1.0	0.000132	3.7e-05	0.0134
INVS	100225862-100226262	-0.4693	0.0	0.0	0.0	0.0	1.0	1.0	0.0193	0.0482	0.0227	0.00319	0.0245	0.0373	1.0	0.00234	3.17e-05	0.0186	1.0	1.0	0.0166	0.00543	8.16e-05	9.5e-05	0.000151	1.0	1.0	0.00161	0.00149	0.000311	0.00308	0.00123	1.0	1.0	0.000571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.000942	1.0	1.0	1.0	1.0	1.0	1.0	0.00104	0.00402	1.0	0.0018	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00357	1.0	1.0	1.0	0.000287	1.0	1.0	1.0	0.0179	0.000877	1.0	0.000297	0.00877	1.0	0.0346	1.0	1.0	0.0143	0.000275	0.00268	1.0	1.0	1.0	1.0
INVS	100126183-100126583	0.5349	0.0	0.0	0.0	0.0	0.00982	1.0	0.0311	1.0	1.0	0.0356	0.000106	0.000244	1.0	1.0	1.0	0.0151	1.0	1.0	1.0	0.000123	0.00266	1.0	1.0	7.38e-05	8.1e-05	0.00214	0.0222	1.0	0.0154	0.000353	1.0	1.0	0.00211	0.00015	7.81e-05	0.000135	0.00483	0.00295	0.00178	0.02	0.00646	0.0018	1.0	0.00285	0.000532	0.000754	0.013	0.0049	1.0	1.0	1.0	0.000525	0.0168	1.0	0.00011	1.0	1.0	1.0	0.000151	1.0	0.00511	0.0129	0.0082	0.000134	0.00798	0.00288	1.0	0.000184	9.61e-05	1.0	0.00276	1.0	0.000981	0.00186	0.0128	1.0	0.0027	0.00113	0.0384	0.0109	0.000138	0.0332	5.95e-05	0.00567	0.002	1.0	0.000132	0.0132	0.0134
INVS	100226013-100226413	-0.4693	0.0	0.0	0.0	0.0	0.00982	1.0	0.000942	0.000716	0.00681	0.0356	0.000242	0.000244	1.0	1.0	1.0	0.0151	1.0	1.0	1.0	0.000123	0.00266	1.0	1.0	0.00015	0.000151	0.00214	0.0222	1.0	0.0154	0.000353	1.0	1.0	0.00211	0.00015	7.81e-05	0.000135	0.00483	0.00295	0.00178	0.02	0.00646	0.0018	0.00438	0.00285	0.000532	0.000754	0.013	0.0049	1.0	1.0	1.0	0.000525	0.0168	1.0	0.000135	1.0	0.0345	1.0	0.000151	1.0	0.00511	0.0129	0.0082	0.000134	0.00798	0.00288	1.0	0.000184	9.61e-05	1.0	0.00276	1.0	0.000981	0.00186	0.0128	1.0	0.0027	0.00113	0.0384	0.000291	0.000173	0.0332	0.000159	0.00567	0.002	1.0	0.000132	0.0132	0.0134
INVS	100226034-100226434	-0.4693	0.0	0.0	0.0	0.0	0.00982	1.0	0.000942	0.000716	0.00681	0.0356	0.000242	0.000244	1.0	1.0	1.0	0.0151	1.0	1.0	1.0	0.000123	0.00266	1.0	1.0	0.00015	0.000151	0.00214	0.0222	1.0	0.0154	0.000353	1.0	1.0	0.00211	0.00015	7.81e-05	0.000135	0.00483	0.00295	0.00178	0.02	0.00646	0.0018	0.00438	0.00285	0.000532	0.000754	0.013	0.0049	1.0	1.0	1.0	0.000525	0.0168	1.0	0.000135	1.0	0.0345	1.0	0.000151	1.0	0.00511	0.0129	0.0082	0.000134	0.00798	0.00288	1.0	0.000184	9.61e-05	1.0	0.00276	1.0	0.000981	0.00186	0.0128	1.0	0.0027	0.00113	0.0384	0.000291	0.000173	0.0332	0.000159	0.00567	0.002	1.0	0.000132	0.0132	0.0134
INVS	100226035-100226435	-0.4693	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0227	0.00319	1.0	1.0	1.0	0.00234	3.17e-05	0.0186	1.0	1.0	0.015	0.00245	8.16e-05	9.5e-05	0.000151	1.0	1.0	0.000739	0.00103	0.000311	1.09e-05	0.00123	1.0	1.0	0.000571	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.000942	1.0	1.0	1.0	1.0	1.0	1.0	0.000303	0.000577	1.0	0.000324	1.0	1.0	1.0	0.0309	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.00357	1.0	1.0	1.0	0.000287	1.0	1.0	1.0	0.0179	0.000877	1.0	0.000297	0.0252	1.0	0.0106	1.0	1.0	1.0	0.000275	0.00268	1.0	1.0	1.0	1.0
