gene_id	flanks
ENSG00000185946.16	103551521-103551921
ENSG00000185946.16	103551524-103551924
ENSG00000185946.16	103551592-103551992
ENSG00000185946.16	103553074-103553474
ENSG00000185946.16	103553132-103553532
ENSG00000185946.16	103553143-103553543
ENSG00000185946.16	103554834-103555234
ENSG00000185946.16	103554909-103555309
ENSG00000185946.16	103554912-103555312
ENSG00000081026.19	113680998-113681398
ENSG00000081026.19	113681136-113681536
ENSG00000081026.19	113682012-113682412
ENSG00000081026.19	113682102-113682502
ENSG00000081026.19	113682234-113682634
ENSG00000081026.19	113682697-113683097
ENSG00000197323.12	114397532-114397932
ENSG00000197323.12	114397638-114398038
ENSG00000197323.12	114397660-114398060
ENSG00000197323.12	114397740-114398140
ENSG00000197323.12	114397790-114398190
ENSG00000197323.12	114399257-114399657
ENSG00000197323.12	114399409-114399809
ENSG00000266338.7	144426078-144426478
ENSG00000266338.7	144426250-144426650
ENSG00000266338.7	144426847-144427247
ENSG00000266338.7	144426898-144427298
ENSG00000266338.7	144427618-144428018
ENSG00000266338.7	144427790-144428190
ENSG00000160072.20	1477074-1477474
ENSG00000160072.20	1477150-1477550
ENSG00000160072.20	1478444-1478844
ENSG00000160072.20	1478545-1478945
ENSG00000143569.19	154220649-154221049
ENSG00000143569.19	154220685-154221085
ENSG00000143569.19	154220743-154221143
ENSG00000143569.19	154220747-154221147
ENSG00000143569.19	154220755-154221155
ENSG00000143569.19	154220767-154221167
ENSG00000143569.19	154220775-154221175
ENSG00000143569.19	154220840-154221240
ENSG00000143569.19	154224882-154225282
ENSG00000143569.19	154224884-154225284
ENSG00000143569.19	154225013-154225413
ENSG00000160766.15	155217040-155217440
ENSG00000160766.15	155217173-155217573
ENSG00000160766.15	155217319-155217719
ENSG00000160766.15	155217393-155217793
ENSG00000160766.15	155217505-155217905
ENSG00000160766.15	155217577-155217977
ENSG00000160766.15	155217646-155218046
ENSG00000160766.15	155217764-155218164
ENSG00000160766.15	155217849-155218249
ENSG00000160766.15	155217950-155218350
ENSG00000160752.15	155308594-155308994
ENSG00000160752.15	155308603-155309003
ENSG00000160752.15	155308654-155309054
ENSG00000160752.15	155308663-155309063
ENSG00000160752.15	155308666-155309066
ENSG00000160752.15	155308689-155309089
ENSG00000160752.15	155308693-155309093
ENSG00000160752.15	155308714-155309114
ENSG00000160752.15	155308716-155309116
ENSG00000160752.15	155308759-155309159
ENSG00000160752.15	155308765-155309165
ENSG00000160752.15	155308768-155309168
ENSG00000160752.15	155308770-155309170
ENSG00000160752.15	155308784-155309184
ENSG00000160752.15	155308785-155309185
ENSG00000160752.15	155308876-155309276
ENSG00000160752.15	155309553-155309953
ENSG00000160752.15	155309589-155309989
ENSG00000160752.15	155309765-155310165
ENSG00000116539.14	155521418-155521818
ENSG00000116539.14	155561826-155562226
ENSG00000116539.14	155561873-155562273
ENSG00000116539.14	155561953-155562353
ENSG00000116539.14	155562086-155562486
ENSG00000116539.14	155562091-155562491
ENSG00000116539.14	155562095-155562495
ENSG00000132694.19	156937296-156937696
ENSG00000132694.19	156938218-156938618
ENSG00000132694.19	156938313-156938713
ENSG00000132694.19	156939348-156939748
ENSG00000132694.19	156939540-156939940
ENSG00000197965.12	167773036-167773436
ENSG00000197965.12	167773168-167773568
ENSG00000197965.12	167775864-167776264
ENSG00000197965.12	167775966-167776366
ENSG00000197965.12	167787620-167788020
