gene_id	lsv_id	seqid	mean_dpsi_per_lsv_junction	probability_changing	num_exons	strand	junction0
ENSG00000066248.15	ENSG00000066248.15:t:232888033-232888107	chr2	-0.5953	9.995e-01	3	-	232888107
ENSG00000066248.15	ENSG00000066248.15:t:232888033-232888107	chr2	-0.5953	9.995e-01	3	-	232891358
ENSG00000066248.15	ENSG00000066248.15:t:232888033-232888107	chr2	0.5953	9.995e-01	3	-	232888107
ENSG00000066248.15	ENSG00000066248.15:t:232888033-232888107	chr2	0.5953	9.995e-01	3	-	232890934
ENSG00000069974.16	ENSG00000069974.16:s:55289716-55289813	chr15	-0.5108	9.952e-01	3	-	55270284
ENSG00000069974.16	ENSG00000069974.16:s:55289716-55289813	chr15	-0.5108	9.952e-01	3	-	55289716
ENSG00000069974.16	ENSG00000069974.16:s:55289716-55289813	chr15	0.5108	9.952e-01	3	-	55234956
ENSG00000069974.16	ENSG00000069974.16:s:55289716-55289813	chr15	0.5108	9.952e-01	3	-	55289716
ENSG00000072210.19	ENSG00000072210.19:s:19671721-19671956	chr17	-0.5258	1.000e+00	5	+	19671956
ENSG00000072210.19	ENSG00000072210.19:s:19671721-19671956	chr17	-0.5258	1.000e+00	5	+	19675496
ENSG00000072210.19	ENSG00000072210.19:s:19671721-19671956	chr17	0.4543	1.000e+00	5	+	19671956
ENSG00000072210.19	ENSG00000072210.19:s:19671721-19671956	chr17	0.4543	1.000e+00	5	+	19675558
ENSG00000072210.19	ENSG00000072210.19:t:19675558-19677598	chr17	0.3950	1.000e+00	5	+	19671956
ENSG00000072210.19	ENSG00000072210.19:t:19675558-19677598	chr17	0.3950	1.000e+00	5	+	19675558
ENSG00000072210.19	ENSG00000072210.19:t:19675558-19677598	chr17	-0.4658	1.000e+00	5	+	19675499
ENSG00000072210.19	ENSG00000072210.19:t:19675558-19677598	chr17	-0.4658	1.000e+00	5	+	19675562
ENSG00000010244.19	ENSG00000010244.19:s:32365330-32365591	chr17	-0.4602	1.000e+00	3	+	32365487
ENSG00000010244.19	ENSG00000010244.19:s:32365330-32365591	chr17	-0.4602	1.000e+00	3	+	32366665
ENSG00000010244.19	ENSG00000010244.19:s:32365330-32365591	chr17	0.4602	1.000e+00	3	+	32365487
ENSG00000010244.19	ENSG00000010244.19:s:32365330-32365591	chr17	0.4602	1.000e+00	3	+	32367772
ENSG00000010244.19	ENSG00000010244.19:t:32367772-32368433	chr17	0.3567	1.000e+00	3	+	32365487
ENSG00000010244.19	ENSG00000010244.19:t:32367772-32368433	chr17	0.3567	1.000e+00	3	+	32367772
ENSG00000010244.19	ENSG00000010244.19:t:32367772-32368433	chr17	-0.3567	1.000e+00	3	+	32366757
ENSG00000010244.19	ENSG00000010244.19:t:32367772-32368433	chr17	-0.3567	1.000e+00	3	+	32367772
ENSG00000015479.20	ENSG00000015479.20:s:139293674-139293772	chr5	0.3452	9.606e-01	4	+	139293772
ENSG00000015479.20	ENSG00000015479.20:s:139293674-139293772	chr5	0.3452	9.606e-01	4	+	139307239
ENSG00000015479.20	ENSG00000015479.20:s:139293674-139293772	chr5	-0.3490	9.690e-01	4	+	139293772
ENSG00000015479.20	ENSG00000015479.20:s:139293674-139293772	chr5	-0.3490	9.690e-01	4	+	139314675
ENSG00000037241.7	ENSG00000037241.7:t:172959765-172960041	chr5	-0.3968	9.990e-01	5	+	172959468
ENSG00000037241.7	ENSG00000037241.7:t:172959765-172960041	chr5	-0.3968	9.990e-01	5	+	172959865
ENSG00000048740.19	ENSG00000048740.19:t:11165484-11165682	chr10	0.4708	1.000e+00	6	+	11018163
ENSG00000048740.19	ENSG00000048740.19:t:11165484-11165682	chr10	0.4708	1.000e+00	6	+	11165486
ENSG00000048740.19	ENSG00000048740.19:t:11165484-11165682	chr10	-0.4740	1.000e+00	6	+	11165317
ENSG00000048740.19	ENSG00000048740.19:t:11165484-11165682	chr10	-0.4740	1.000e+00	6	+	11165486
ENSG00000072110.16	ENSG00000072110.16:s:68879864-68880108	chr14	-0.2867	9.988e-01	4	-	68879069
ENSG00000072110.16	ENSG00000072110.16:s:68879864-68880108	chr14	-0.2867	9.988e-01	4	-	68879962
ENSG00000080822.17	ENSG00000080822.17:t:98521330-98521442	chr3	-0.2899	9.727e-01	4	-	98521442
ENSG00000080822.17	ENSG00000080822.17:t:98521330-98521442	chr3	-0.2899	9.727e-01	4	-	98522849
ENSG00000086666.19	ENSG00000086666.19:t:80098416-80098578	chr15	-0.3345	9.865e-01	7	+	80072647
ENSG00000086666.19	ENSG00000086666.19:t:80098416-80098578	chr15	-0.3345	9.865e-01	7	+	80098416
ENSG00000005889.16	ENSG00000005889.16:t:24172715-24172914	chrX	0.4250	9.826e-01	4	+	24152830
ENSG00000005889.16	ENSG00000005889.16:t:24172715-24172914	chrX	0.4250	9.826e-01	4	+	24172715
ENSG00000007062.12	ENSG00000007062.12:t:16075975-16076118	chr4	0.4085	9.999e-01	6	-	16076118
ENSG00000007062.12	ENSG00000007062.12:t:16075975-16076118	chr4	0.4085	9.999e-01	6	-	16083978
ENSG00000007062.12	ENSG00000007062.12:t:16075975-16076118	chr4	-0.4196	1.000e+00	6	-	16076118
ENSG00000007062.12	ENSG00000007062.12:t:16075975-16076118	chr4	-0.4196	1.000e+00	6	-	16083665
ENSG00000007541.17	ENSG00000007541.17:s:580858-580972	chr16	0.5198	1.000e+00	4	+	580972
ENSG00000007541.17	ENSG00000007541.17:s:580858-580972	chr16	0.5198	1.000e+00	4	+	582248
ENSG00000007541.17	ENSG00000007541.17:s:580858-580972	chr16	-0.5108	1.000e+00	4	+	580972
ENSG00000007541.17	ENSG00000007541.17:s:580858-580972	chr16	-0.5108	1.000e+00	4	+	582883
ENSG00000007541.17	ENSG00000007541.17:t:582877-583455	chr16	-0.3315	9.715e-01	4	+	580972
ENSG00000007541.17	ENSG00000007541.17:t:582877-583455	chr16	-0.3315	9.715e-01	4	+	582883
ENSG00000007541.17	ENSG00000007541.17:t:582877-583455	chr16	0.3496	9.823e-01	4	+	582309
ENSG00000007541.17	ENSG00000007541.17:t:582877-583455	chr16	0.3496	9.823e-01	4	+	582883
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	0.3294	9.995e-01	5	-	1765446
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	0.3294	9.995e-01	5	-	1779905
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	-0.3768	1.000e+00	5	-	1765446
ENSG00000008130.15	ENSG00000008130.15:t:1765228-1765446	chr1	-0.3768	1.000e+00	5	-	1778289
ENSG00000054523.19	ENSG00000054523.19:s:10324758-10324895	chr1	-0.3304	9.874e-01	3	+	10324895
ENSG00000054523.19	ENSG00000054523.19:s:10324758-10324895	chr1	-0.3304	9.874e-01	3	+	10326111
ENSG00000054523.19	ENSG00000054523.19:s:10324758-10324895	chr1	0.3304	9.874e-01	3	+	10324895
ENSG00000054523.19	ENSG00000054523.19:s:10324758-10324895	chr1	0.3304	9.874e-01	3	+	10334520
ENSG00000054523.19	ENSG00000054523.19:t:10334520-10334638	chr1	0.4770	1.000e+00	3	+	10324895
ENSG00000054523.19	ENSG00000054523.19:t:10334520-10334638	chr1	0.4770	1.000e+00	3	+	10334520
ENSG00000054523.19	ENSG00000054523.19:t:10334520-10334638	chr1	-0.4770	1.000e+00	3	+	10326359
ENSG00000054523.19	ENSG00000054523.19:t:10334520-10334638	chr1	-0.4770	1.000e+00	3	+	10334520
ENSG00000069424.16	ENSG00000069424.16:t:6040517-6040645	chr1	-0.6264	9.999e-01	11	+	5992788
ENSG00000069424.16	ENSG00000069424.16:t:6040517-6040645	chr1	-0.6264	9.999e-01	11	+	6040517
ENSG00000069424.16	ENSG00000069424.16:t:6040517-6040645	chr1	0.6864	1.000e+00	11	+	6026445
ENSG00000069424.16	ENSG00000069424.16:t:6040517-6040645	chr1	0.6864	1.000e+00	11	+	6040517
ENSG00000078018.21	ENSG00000078018.21:s:209709914-209710579	chr2	0.7086	1.000e+00	4	+	209710254
ENSG00000078018.21	ENSG00000078018.21:s:209709914-209710579	chr2	0.7086	1.000e+00	4	+	209723595
ENSG00000078018.21	ENSG00000078018.21:s:209709914-209710579	chr2	-0.8130	1.000e+00	4	+	209710254
ENSG00000078018.21	ENSG00000078018.21:s:209709914-209710579	chr2	-0.8130	1.000e+00	4	+	209725709
ENSG00000078018.21	ENSG00000078018.21:t:209725709-209725790	chr2	-0.7847	1.000e+00	3	+	209710254
ENSG00000078018.21	ENSG00000078018.21:t:209725709-209725790	chr2	-0.7847	1.000e+00	3	+	209725709
ENSG00000078018.21	ENSG00000078018.21:t:209725709-209725790	chr2	0.7847	1.000e+00	3	+	209723687
ENSG00000078018.21	ENSG00000078018.21:t:209725709-209725790	chr2	0.7847	1.000e+00	3	+	209725709
ENSG00000041982.16	ENSG00000041982.16:s:115073603-115073866	chr9	-0.3233	9.860e-01	6	-	115064919
ENSG00000041982.16	ENSG00000041982.16:s:115073603-115073866	chr9	-0.3233	9.860e-01	6	-	115073603
ENSG00000041982.16	ENSG00000041982.16:t:115046410-115046682	chr9	-0.4202	9.988e-01	6	-	115046682
ENSG00000041982.16	ENSG00000041982.16:t:115046410-115046682	chr9	-0.4202	9.988e-01	6	-	115048260
ENSG00000058673.17	ENSG00000058673.17:s:203795623-203795794	chr1	0.2944	9.746e-01	4	+	203795794
ENSG00000058673.17	ENSG00000058673.17:s:203795623-203795794	chr1	0.2944	9.746e-01	4	+	203796293
ENSG00000058673.17	ENSG00000058673.17:s:203795623-203795794	chr1	-0.2961	9.810e-01	4	+	203795794
ENSG00000058673.17	ENSG00000058673.17:s:203795623-203795794	chr1	-0.2961	9.810e-01	4	+	203801575
ENSG00000065029.15	ENSG00000065029.15:t:35281056-35281224	chr6	0.3583	9.669e-01	5	+	35259727
ENSG00000065029.15	ENSG00000065029.15:t:35281056-35281224	chr6	0.3583	9.669e-01	5	+	35281056
ENSG00000065029.15	ENSG00000065029.15:t:35281056-35281224	chr6	-0.3579	9.620e-01	5	+	35259841
ENSG00000065029.15	ENSG00000065029.15:t:35281056-35281224	chr6	-0.3579	9.620e-01	5	+	35281056
ENSG00000088387.21	ENSG00000088387.21:s:98826830-98826887	chr13	0.4417	9.807e-01	3	-	98825940
ENSG00000088387.21	ENSG00000088387.21:s:98826830-98826887	chr13	0.4417	9.807e-01	3	-	98826830
ENSG00000088387.21	ENSG00000088387.21:s:98826830-98826887	chr13	-0.4766	9.867e-01	3	-	98824504
ENSG00000088387.21	ENSG00000088387.21:s:98826830-98826887	chr13	-0.4766	9.867e-01	3	-	98826830
ENSG00000099889.14	ENSG00000099889.14:t:19981933-19982091	chr22	-0.3741	9.983e-01	6	-	19982091
ENSG00000099889.14	ENSG00000099889.14:t:19981933-19982091	chr22	-0.3741	9.983e-01	6	-	19987073
ENSG00000001460.18	ENSG00000001460.18:t:24383867-24384003	chr1	-0.3680	9.952e-01	3	-	24384003
ENSG00000001460.18	ENSG00000001460.18:t:24383867-24384003	chr1	-0.3680	9.952e-01	3	-	24401319
ENSG00000001460.18	ENSG00000001460.18:t:24383867-24384003	chr1	0.3680	9.952e-01	3	-	24384003
ENSG00000001460.18	ENSG00000001460.18:t:24383867-24384003	chr1	0.3680	9.952e-01	3	-	24391561
ENSG00000003756.17	ENSG00000003756.17:s:50099982-50100172	chr3	0.3383	9.998e-01	3	+	50100051
ENSG00000003756.17	ENSG00000003756.17:s:50099982-50100172	chr3	0.3383	9.998e-01	3	+	50100532
ENSG00000003756.17	ENSG00000003756.17:s:50099982-50100172	chr3	-0.3383	9.998e-01	3	+	50100051
ENSG00000003756.17	ENSG00000003756.17:s:50099982-50100172	chr3	-0.3383	9.998e-01	3	+	50103083
ENSG00000003756.17	ENSG00000003756.17:t:50102337-50103166	chr3	-0.3323	1.000e+00	3	+	50100051
ENSG00000003756.17	ENSG00000003756.17:t:50102337-50103166	chr3	-0.3323	1.000e+00	3	+	50103083
ENSG00000003756.17	ENSG00000003756.17:t:50102337-50103166	chr3	0.3323	1.000e+00	3	+	50100605
ENSG00000003756.17	ENSG00000003756.17:t:50102337-50103166	chr3	0.3323	1.000e+00	3	+	50103083
ENSG00000004455.17	ENSG00000004455.17:s:33013044-33013402	chr1	0.2967	9.567e-01	3	-	33012122
ENSG00000004455.17	ENSG00000004455.17:s:33013044-33013402	chr1	0.2967	9.567e-01	3	-	33013207
ENSG00000004455.17	ENSG00000004455.17:s:33013044-33013402	chr1	-0.2967	9.567e-01	3	-	33010833
ENSG00000004455.17	ENSG00000004455.17:s:33013044-33013402	chr1	-0.2967	9.567e-01	3	-	33013207
ENSG00000065613.15	ENSG00000065613.15:s:104008177-104008356	chr10	0.8991	1.000e+00	3	+	104008356
ENSG00000065613.15	ENSG00000065613.15:s:104008177-104008356	chr10	0.8991	1.000e+00	3	+	104010816
ENSG00000065613.15	ENSG00000065613.15:s:104008177-104008356	chr10	-0.8991	1.000e+00	3	+	104008356
ENSG00000065613.15	ENSG00000065613.15:s:104008177-104008356	chr10	-0.8991	1.000e+00	3	+	104018160
ENSG00000065613.15	ENSG00000065613.15:t:104018160-104018289	chr10	-0.8947	1.000e+00	4	+	104008356
ENSG00000065613.15	ENSG00000065613.15:t:104018160-104018289	chr10	-0.8947	1.000e+00	4	+	104018160
ENSG00000065613.15	ENSG00000065613.15:t:104018160-104018289	chr10	0.8940	1.000e+00	4	+	104010908
ENSG00000065613.15	ENSG00000065613.15:t:104018160-104018289	chr10	0.8940	1.000e+00	4	+	104018160
ENSG00000079277.22	ENSG00000079277.22:t:46594113-46594280	chr1	-0.5935	1.000e+00	5	-	46594280
ENSG00000079277.22	ENSG00000079277.22:t:46594113-46594280	chr1	-0.5935	1.000e+00	5	-	46604227
ENSG00000079277.22	ENSG00000079277.22:t:46594113-46594280	chr1	0.5091	9.985e-01	5	-	46594280
ENSG00000079277.22	ENSG00000079277.22:t:46594113-46594280	chr1	0.5091	9.985e-01	5	-	46604185
ENSG00000092096.19	ENSG00000092096.19:s:23349272-23349762	chr14	-0.3003	9.532e-01	4	-	23348671
ENSG00000092096.19	ENSG00000092096.19:s:23349272-23349762	chr14	-0.3003	9.532e-01	4	-	23349272
ENSG00000094631.21	ENSG00000094631.21:s:48819447-48820255	chrX	0.3562	9.951e-01	3	+	48820255
ENSG00000094631.21	ENSG00000094631.21:s:48819447-48820255	chrX	0.3562	9.951e-01	3	+	48822185
