flanks	gene_id	mean_dpsi_per_lsv_junction	H3K4me3	H3K27me3	H3K9me3	H3K27ac
103551521-103551921	ENSG00000185946.16	0.5382				
103551524-103551924	ENSG00000185946.16	0.5382				
103551592-103551992	ENSG00000185946.16	0.5382				
103553074-103553474	ENSG00000185946.16	-0.5382				
103553132-103553532	ENSG00000185946.16	-0.5382				
103553143-103553543	ENSG00000185946.16	-0.5382				
103554834-103555234	ENSG00000185946.16	0.5382				
103554909-103555309	ENSG00000185946.16	0.5382				
103554912-103555312	ENSG00000185946.16	0.5382				
113680998-113681398	ENSG00000081026.19	0.4322				
113681136-113681536	ENSG00000081026.19	0.4322				
113682012-113682412	ENSG00000081026.19	-0.4322				
113682102-113682502	ENSG00000081026.19	-0.4322				
113682234-113682634	ENSG00000081026.19	-0.4322				
113682697-113683097	ENSG00000081026.19	0.4322				
114397532-114397932	ENSG00000197323.12	0.2914				
114397638-114398038	ENSG00000197323.12	0.2959				
114397660-114398060	ENSG00000197323.12	0.2959				
114397740-114398140	ENSG00000197323.12	0.2959				
114397790-114398190	ENSG00000197323.12	0.2959				
114399257-114399657	ENSG00000197323.12	0.2959				
114399409-114399809	ENSG00000197323.12	0.2959				
144426078-144426478	ENSG00000266338.7	0.3777				
144426250-144426650	ENSG00000266338.7	0.3777				
144426847-144427247	ENSG00000266338.7	-0.3777				
144426898-144427298	ENSG00000266338.7	-0.3777				
144427618-144428018	ENSG00000266338.7	0.3777				
144427790-144428190	ENSG00000266338.7	0.3777				
1477074-1477474	ENSG00000160072.20	0.4118				
1477150-1477550	ENSG00000160072.20	0.4118				
1478444-1478844	ENSG00000160072.20	0.4118				
1478545-1478945	ENSG00000160072.20	0.4118				
154220649-154221049	ENSG00000143569.19	-0.4517	0.08767	0.0	0.0	-0.113
154220685-154221085	ENSG00000143569.19	-0.4517	0.08767	0.0	0.0	-0.113
154220743-154221143	ENSG00000143569.19	-0.4517	0.08767	0.0	0.0	-0.113
154220747-154221147	ENSG00000143569.19	-0.4517	0.08767	0.0	0.0	-0.113
154220755-154221155	ENSG00000143569.19	-0.4517	0.08767	0.0	0.0	-0.113
154220767-154221167	ENSG00000143569.19	-0.4517	0.08767	0.0	0.0	-0.113
154220775-154221175	ENSG00000143569.19	-0.4517	0.08767	0.0	0.0	-0.113
154220840-154221240	ENSG00000143569.19	-0.4517	0.08767	0.0	0.0	-0.113
154224882-154225282	ENSG00000143569.19	-0.4517				
154224884-154225284	ENSG00000143569.19	-0.4517				
154225013-154225413	ENSG00000143569.19	-0.4517				
155217040-155217440	ENSG00000160766.15	0.4539				
155217173-155217573	ENSG00000160766.15	0.4539				
155217319-155217719	ENSG00000160766.15	0.4539				
155217393-155217793	ENSG00000160766.15	0.4539				
155217505-155217905	ENSG00000160766.15	0.4539				
155217577-155217977	ENSG00000160766.15	-0.449				
155217646-155218046	ENSG00000160766.15	-0.449				
155217764-155218164	ENSG00000160766.15	-0.449				
155217849-155218249	ENSG00000160766.15	-0.449				
155217950-155218350	ENSG00000160766.15	-0.449				
155308594-155308994	ENSG00000160752.15	-0.5055	0.34653	0.0	0.0	0.93583
155308603-155309003	ENSG00000160752.15	-0.5055	0.34653	0.0	0.0	0.93583
155308654-155309054	ENSG00000160752.15	-0.5055	0.34653	0.0	0.0	0.93583
155308663-155309063	ENSG00000160752.15	-0.5055	0.34653	0.0	0.0	0.93583
155308666-155309066	ENSG00000160752.15	-0.5055	0.34653	0.0	0.0	0.93583
155308689-155309089	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155308693-155309093	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155308714-155309114	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155308716-155309116	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155308759-155309159	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155308765-155309165	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155308768-155309168	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155308770-155309170	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155308784-155309184	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155308785-155309185	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155308876-155309276	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155309553-155309953	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155309589-155309989	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155309765-155310165	ENSG00000160752.15	0.5149	0.34653	0.0	0.0	0.93583
155521418-155521818	ENSG00000116539.14	0.3409				
155561826-155562226	ENSG00000116539.14	0.3409	0.16721	0.0	0.0	-0.0405
155561873-155562273	ENSG00000116539.14	0.3409	0.16721	0.0	0.0	-0.0405
155561953-155562353	ENSG00000116539.14	0.3409	0.16721	0.0	0.0	-0.0405
155562086-155562486	ENSG00000116539.14	0.3409	0.16721	0.0	0.0	-0.0405
155562091-155562491	ENSG00000116539.14	0.3409	0.16721	0.0	0.0	-0.0405
155562095-155562495	ENSG00000116539.14	0.3409	0.16721	0.0	0.0	-0.0405
156937296-156937696	ENSG00000132694.19	0.9062				
156938218-156938618	ENSG00000132694.19	-0.8805				
156938313-156938713	ENSG00000132694.19	-0.8805				
156939348-156939748	ENSG00000132694.19	0.9062				
156939540-156939940	ENSG00000132694.19	0.9062				
167773036-167773436	ENSG00000197965.12	0.3327				
167773168-167773568	ENSG00000197965.12	0.3327				
167775864-167776264	ENSG00000197965.12	0.3327				
167775966-167776366	ENSG00000197965.12	0.3327				
167787620-167788020	ENSG00000197965.12	-0.3327				
167787644-167788044	ENSG00000197965.12	-0.3327				
167787812-167788212	ENSG00000197965.12	-0.3327				
173865029-173865429	ENSG00000234741.9	0.2814	0.6598	0.0	0.0	0.0
173865044-173865444	ENSG00000234741.9	0.2814	0.6598	0.0	0.0	0.0
173865049-173865449	ENSG00000234741.9	0.2814	0.6598	0.0	0.0	0.0
173865082-173865482	ENSG00000234741.9	0.2814	0.6598	0.0	0.0	0.0
173865153-173865553	ENSG00000234741.9	0.2814	0.6598	0.0	0.0	0.0
173865271-173865671	ENSG00000234741.9	0.2814	0.6598	0.0	0.0	1.43428
173865310-173865710	ENSG00000234741.9	0.2814	0.6598	0.0	0.0	1.43428
173865347-173865747	ENSG00000234741.9	0.2814	0.6598	0.0	0.0	1.43428
173865365-173865765	ENSG00000234741.9	0.2814	0.6598	0.0	0.0	1.43428
178889442-178889842	ENSG00000116191.19	0.5711				
178889496-178889896	ENSG00000116191.19	0.5711				
178892030-178892430	ENSG00000116191.19	0.6058				
178892107-178892507	ENSG00000116191.19	0.6058				
178893638-178894038	ENSG00000116191.19	0.6058				
178893719-178894119	ENSG00000116191.19	0.6058				
178893824-178894224	ENSG00000116191.19	0.6058				
179884492-179884892	ENSG00000143337.19	0.4214				
179884569-179884969	ENSG00000143337.19	0.4214				
179889110-179889510	ENSG00000143337.19	0.4214				
179889113-179889513	ENSG00000143337.19	0.4214				
179889169-179889569	ENSG00000143337.19	0.4214				
204944026-204944426	ENSG00000163531.17	0.5075				
204944051-204944451	ENSG00000163531.17	0.5075				
204944206-204944606	ENSG00000163531.17	0.5075				
204950357-204950757	ENSG00000163531.17	0.5075				
204950374-204950774	ENSG00000163531.17	0.5075				
204951811-204952211	ENSG00000163531.17	0.4125				
204951916-204952316	ENSG00000163531.17	0.4125				
211303811-211304211	ENSG00000117625.14	-0.4067				
211303883-211304283	ENSG00000117625.14	-0.4067				
211303940-211304340	ENSG00000117625.14	-0.4067				
211312155-211312555	ENSG00000117625.14	0.4067				
211312287-211312687	ENSG00000117625.14	0.4067				
211312520-211312920	ENSG00000117625.14	0.4067				
211312604-211313004	ENSG00000117625.14	0.4067				
211312619-211313019	ENSG00000117625.14	0.4067				
211312635-211313035	ENSG00000117625.14	0.4067				
213013218-213013618	ENSG00000174606.14	0.3437				
213015293-213015693	ENSG00000174606.14	0.3437	0.18234	0.0	0.0	0.64763
213015409-213015809	ENSG00000174606.14	0.3437	0.18234	0.0	0.0	0.64763
213015413-213015813	ENSG00000174606.14	0.3437	0.18234	0.0	0.0	0.64763
222713121-222713521	ENSG00000162819.12	-0.3816	0.03116	0.0	0.0	0.68875
222713169-222713569	ENSG00000162819.12	-0.3816	0.03116	0.0	0.0	0.68875
222713176-222713576	ENSG00000162819.12	-0.3816	0.03116	0.0	0.0	0.68875
222713181-222713581	ENSG00000162819.12	-0.3816	0.03116	0.0	0.0	0.68875
222713201-222713601	ENSG00000162819.12	-0.3816	0.03116	0.0	0.0	0.68875
222713216-222713616	ENSG00000162819.12	-0.3816	0.03116	0.0	0.0	0.68875
222713388-222713788	ENSG00000162819.12	-0.3816	0.03116	0.0	0.0	0.47229
222715484-222715884	ENSG00000162819.12	-0.3816				
222715600-222716000	ENSG00000162819.12	-0.3816				
228355951-228356351	ENSG00000154358.23	0.3447				
228355993-228356393	ENSG00000154358.23	0.3447				
228356144-228356544	ENSG00000154358.23	0.3447				
228359397-228359797	ENSG00000154358.23	0.3447				
236542515-236542915	ENSG00000116977.19	0.4284				
236542561-236542961	ENSG00000116977.19	0.4284				
236542587-236542987	ENSG00000116977.19	0.4284				
236542607-236543007	ENSG00000116977.19	0.4284				
236542627-236543027	ENSG00000116977.19	0.4284				
236542656-236543056	ENSG00000116977.19	0.4284				
236542715-236543115	ENSG00000116977.19	0.4284				
236542790-236543190	ENSG00000116977.19	0.4284				
236542813-236543213	ENSG00000116977.19	0.4284				
236542827-236543227	ENSG00000116977.19	0.4284				
236542840-236543240	ENSG00000116977.19	0.4284				
236543360-236543760	ENSG00000116977.19	-0.4284				
236543409-236543809	ENSG00000116977.19	-0.4284				
236543448-236543848	ENSG00000116977.19	-0.4284				
24662460-24662860	ENSG00000133226.18	0.3006				
24662604-24663004	ENSG00000133226.18	0.3006				
24662868-24663268	ENSG00000133226.18	-0.3006				
24662983-24663383	ENSG00000133226.18	-0.3006				
24663024-24663424	ENSG00000133226.18	-0.3006				
24666615-24667015	ENSG00000133226.18	0.3006				
24666645-24667045	ENSG00000133226.18	0.3006				
24666725-24667125	ENSG00000133226.18	0.3006				
26432082-26432482	ENSG00000117682.17	-0.5796	0.11474	0.0	0.0	-0.90979
26432116-26432516	ENSG00000117682.17	-0.5796	0.11474	0.0	0.0	-0.90979
26432121-26432521	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432123-26432523	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432129-26432529	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432139-26432539	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432140-26432540	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432142-26432542	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432145-26432545	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432155-26432555	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432166-26432566	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432167-26432567	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432168-26432568	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432171-26432571	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432176-26432576	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432186-26432586	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432190-26432590	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432195-26432595	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432198-26432598	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432203-26432603	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432215-26432615	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432292-26432692	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432318-26432718	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432394-26432794	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432441-26432841	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432523-26432923	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432526-26432926	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432578-26432978	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432691-26433091	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
26432808-26433208	ENSG00000117682.17	0.5135	0.11474	0.0	0.0	-0.90979
28517936-28518336	ENSG00000180198.17	-0.3324	0.20492	0.0	0.0	0.17561
28518057-28518457	ENSG00000180198.17	-0.3324	0.20492	0.0	0.0	0.17561
28518066-28518466	ENSG00000180198.17	-0.3324	0.20492	0.0	0.0	0.17561
28518108-28518508	ENSG00000180198.17	-0.3324	0.20492	0.0	0.0	0.17561
28529658-28530058	ENSG00000180198.17	-0.3324				
28529739-28530139	ENSG00000180198.17	-0.3324				
32753819-32754219	ENSG00000162522.11	-0.3704	0.70099	0.0	0.0	1.27098
32753821-32754221	ENSG00000162522.11	-0.3704	0.70099	0.0	0.0	1.27098
32753980-32754380	ENSG00000162522.11	-0.3704	0.70099	0.0	0.0	1.27098
32767587-32767987	ENSG00000162522.11	-0.3704				
32767757-32768157	ENSG00000162522.11	-0.3704				
33010555-33010955	ENSG00000004455.17	-0.2967				
33010633-33011033	ENSG00000004455.17	-0.2967				
33011874-33012274	ENSG00000004455.17	0.2967				
33011922-33012322	ENSG00000004455.17	0.2967				
33012844-33013244	ENSG00000004455.17	0.2967				
33013007-33013407	ENSG00000004455.17	0.2967				
33013087-33013487	ENSG00000004455.17	0.2967				
33013202-33013602	ENSG00000004455.17	0.2967				
35177789-35178189	ENSG00000116560.11	-0.3183				
35177836-35178236	ENSG00000116560.11	-0.3183				
35177936-35178336	ENSG00000116560.11	-0.3183				
35186801-35187201	ENSG00000116560.11	-0.3183				
35186922-35187322	ENSG00000116560.11	-0.3183				
35973175-35973575	ENSG00000126070.20	0.5291				
35973311-35973711	ENSG00000126070.20	0.5291				
35973392-35973792	ENSG00000126070.20	0.5291				
35982421-35982821	ENSG00000126070.20	0.5291				
35982452-35982852	ENSG00000126070.20	0.5291				
35982512-35982912	ENSG00000126070.20	0.5291				
36004141-36004541	ENSG00000126070.20	-0.6183				
36004275-36004675	ENSG00000126070.20	-0.6183				
39026118-39026518	ENSG00000168653.11	0.3031	0.44923	0.0	0.0	-0.34146
39026150-39026550	ENSG00000168653.11	0.3031	0.44923	0.0	0.0	-0.34146
39026198-39026598	ENSG00000168653.11	0.3031	0.44923	0.0	0.0	-0.34146
39026202-39026602	ENSG00000168653.11	0.3031	0.44923	0.0	0.0	-0.34146
39028523-39028923	ENSG00000168653.11	0.3031				
39563414-39563814	ENSG00000090621.15	-0.2951				
39563416-39563816	ENSG00000090621.15	-0.2951				
39563541-39563941	ENSG00000090621.15	-0.2951				
39563596-39563996	ENSG00000090621.15	-0.2951				
39563636-39564036	ENSG00000090621.15	-0.2951				
39563722-39564122	ENSG00000090621.15	-0.2951				
46593913-46594313	ENSG00000079277.22	0.5091				
46594006-46594406	ENSG00000079277.22	0.5091				
46594031-46594431	ENSG00000079277.22	0.5091				
46594061-46594461	ENSG00000079277.22	0.5091				
46594080-46594480	ENSG00000079277.22	0.5091				
46603965-46604365	ENSG00000079277.22	0.5091	-0.38271	0.0	0.0	0.85829
46603985-46604385	ENSG00000079277.22	0.5091	-0.38271	0.0	0.0	0.85829
46604014-46604414	ENSG00000079277.22	0.5091	-0.38271	0.0	0.0	0.85829
46604024-46604424	ENSG00000079277.22	0.5091	-0.38271	0.0	0.0	0.85829
46604027-46604427	ENSG00000079277.22	0.5091	-0.38271	0.0	0.0	0.85829
46604046-46604446	ENSG00000079277.22	0.5091	-0.38271	0.0	0.0	0.85829
46604055-46604455	ENSG00000079277.22	0.5091	-0.38271	0.0	0.0	0.85829
46604068-46604468	ENSG00000079277.22	0.5091	-0.38271	0.0	0.0	0.85829
46604070-46604470	ENSG00000079277.22	0.5091	-0.38271	0.0	0.0	0.85829
46604079-46604479	ENSG00000079277.22	0.5091	-0.38271	0.0	0.0	0.85829
46604094-46604494	ENSG00000079277.22	0.5091	-0.38271	0.0	0.0	0.85829
496909-497309	ENSG00000237094.12	-0.2874				
496934-497334	ENSG00000237094.12	-0.2874				
497005-497405	ENSG00000237094.12	-0.2874				
497010-497410	ENSG00000237094.12	-0.2874				
497028-497428	ENSG00000237094.12	-0.2874				
497040-497440	ENSG00000237094.12	-0.2874				
497045-497445	ENSG00000237094.12	-0.2874				
497059-497459	ENSG00000237094.12	-0.2874				
497075-497475	ENSG00000237094.12	-0.2874				
497099-497499	ENSG00000237094.12	-0.2874				
498081-498481	ENSG00000237094.12	0.2881				
498105-498505	ENSG00000237094.12	0.2881				
498199-498599	ENSG00000237094.12	0.2881				
498256-498656	ENSG00000237094.12	0.2881				
53275431-53275831	ENSG00000157193.18	0.3793				
53275455-53275855	ENSG00000157193.18	0.3793				
53275553-53275953	ENSG00000157193.18	0.3793				
53276492-53276892	ENSG00000157193.18	-0.3655				
53276507-53276907	ENSG00000157193.18	-0.3655				
53276624-53277024	ENSG00000157193.18	-0.3655				
53280387-53280787	ENSG00000157193.18	0.3793				
53280515-53280915	ENSG00000157193.18	0.3793				
62477500-62477900	ENSG00000116641.18	-0.3395				
62477553-62477953	ENSG00000116641.18	-0.3395				
62477562-62477962	ENSG00000116641.18	-0.3395				
62477625-62478025	ENSG00000116641.18	-0.3395				
62477634-62478034	ENSG00000116641.18	-0.3395				
62487198-62487598	ENSG00000116641.18	-0.3395				
62487212-62487612	ENSG00000116641.18	-0.3395				
62487252-62487652	ENSG00000116641.18	-0.3395				
75785997-75786397	ENSG00000137955.16	-0.6395	0.37129	0.0	0.0	0.85821
75786028-75786428	ENSG00000137955.16	-0.6395	0.37129	0.0	0.0	0.85821
75786031-75786431	ENSG00000137955.16	-0.6395	0.37129	0.0	0.0	0.85821
75786043-75786443	ENSG00000137955.16	-0.6395	0.37129	0.0	0.0	0.85821
75786056-75786456	ENSG00000137955.16	-0.6395	0.37129	0.0	0.0	0.85821
